mode,seed,channels,steps,initial_spread,initial_top3,final_top3,variance_slope,gray_autocorrelation
chaotic,0,40,60000,0.0,0.075,0.6145990992053217,1.994978508457209,0.0059595702499552
frozen,0,40,60000,0.0,0.075,0.07500000000000001,nan,nan
chaotic,1,40,60000,0.0,0.075,0.46262619274887196,1.9875856431019994,0.0005337847805447574
frozen,1,40,60000,0.0,0.075,0.07500000000000001,nan,nan
chaotic,2,40,60000,0.0,0.075,0.5294875305684253,1.9991785914822826,-0.00037799284706593016
frozen,2,40,60000,0.0,0.075,0.07500000000000001,nan,nan
