q,dt,seed,time,replicas,occupancy_cdf_error,flow_cdf_error,lag_one_driver_product
0.5,0.0078125,0,4.0,512,0.016624896843208337,0.019021416280995185,0.003689143620699878
0.5,0.0078125,0,16.0,512,0.023626445409842545,0.01956676633366977,0.003689143620699878
0.5,0.0078125,1,4.0,512,0.011229739687936904,0.015416835238152626,0.0021096734635375537
0.5,0.0078125,1,16.0,512,0.01767595466473229,0.010163221258906674,0.0021096734635375537
0.5,0.001953125,0,4.0,512,0.02051260427495971,0.021492612368386066,0.000807832188317567
0.5,0.001953125,0,16.0,512,0.009973119342965187,0.010061180568320782,0.000807832188317567
0.5,0.001953125,1,4.0,512,0.01025066899442921,0.012620901486242397,0.0007158517106670495
0.5,0.001953125,1,16.0,512,0.01892198463386613,0.01699999414571468,0.0007158517106670495
1.5,0.0078125,0,4.0,512,0.018159937066914683,0.022405412065046426,0.003689143620699878
1.5,0.0078125,0,16.0,512,0.030436083243646633,0.021441409036522807,0.003689143620699878
1.5,0.0078125,1,4.0,512,0.01851988239898497,0.01611000593313805,0.0021096734635375537
1.5,0.0078125,1,16.0,512,0.02682066364898497,0.016910702079355897,0.0021096734635375537
1.5,0.001953125,0,4.0,512,0.021549417141911442,0.021844625678993257,0.000807832188317567
1.5,0.001953125,0,16.0,512,0.009649320210613245,0.009018857917095002,0.000807832188317567
1.5,0.001953125,1,4.0,512,0.016300468628605402,0.0172917672261772,0.0007158517106670495
1.5,0.001953125,1,16.0,512,0.015276948215568575,0.016655576926638993,0.0007158517106670495
2.5,0.0078125,0,4.0,512,0.03448657715998599,0.028174301711565264,0.003689143620699878
2.5,0.0078125,0,16.0,512,0.03985767090998599,0.031030315248245566,0.003689143620699878
2.5,0.0078125,1,4.0,512,0.039049076942561656,0.03094193233209311,0.0021096734635375537
2.5,0.0078125,1,16.0,512,0.041490483192561656,0.030314915116142094,0.0021096734635375537
2.5,0.001953125,0,4.0,512,0.023545666413013477,0.019387409723787108,0.000807832188317567
2.5,0.001953125,0,16.0,512,0.011008745451279181,0.008241310191175688,0.000807832188317567
2.5,0.001953125,1,4.0,512,0.023584697415132777,0.01868976932281896,0.0007158517106670495
2.5,0.001953125,1,16.0,512,0.023829602751448326,0.016589909996074403,0.0007158517106670495
