q,dt,observable,mean,cluster_se
0.5,0.001953125,driver_lag_1,3.3052431941123095e-05,0.00048058464462620424
0.5,0.001953125,driver_lag_2,-0.0002205129482827465,0.0004906012623114609
0.5,0.001953125,driver_lag_4,2.951501122825371e-05,0.0004551012577754672
0.5,0.001953125,driver_lag_8,0.0009369679884534421,0.0004987967400453516
0.5,0.001953125,driver_adjacent_routes,-0.0009249817055506078,0.0006805498963671185
0.5,0.00048828125,driver_lag_1,-8.044591603961944e-05,0.0002508439203132202
0.5,0.00048828125,driver_lag_2,-6.612080098496498e-05,0.00026244017015674255
0.5,0.00048828125,driver_lag_4,-0.00024498059166069353,0.00023251198416114664
0.5,0.00048828125,driver_lag_8,-0.00025395687736766735,0.0002499065428348901
0.5,0.00048828125,driver_adjacent_routes,0.00011905752523492751,0.0003744478972491616
1.0,0.001953125,driver_lag_1,3.3052431941123095e-05,0.00048058464462620424
1.0,0.001953125,driver_lag_2,-0.0002205129482827465,0.0004906012623114609
1.0,0.001953125,driver_lag_4,2.951501122825371e-05,0.0004551012577754672
1.0,0.001953125,driver_lag_8,0.0009369679884534421,0.0004987967400453516
1.0,0.001953125,driver_adjacent_routes,-0.0009249817055506078,0.0006805498963671185
1.0,0.00048828125,driver_lag_1,-8.044591603961944e-05,0.0002508439203132202
1.0,0.00048828125,driver_lag_2,-6.612080098496498e-05,0.00026244017015674255
1.0,0.00048828125,driver_lag_4,-0.00024498059166069353,0.00023251198416114664
1.0,0.00048828125,driver_lag_8,-0.00025395687736766735,0.0002499065428348901
1.0,0.00048828125,driver_adjacent_routes,0.00011905752523492751,0.0003744478972491616
1.5,0.001953125,driver_lag_1,3.3052431941123095e-05,0.00048058464462620424
1.5,0.001953125,driver_lag_2,-0.0002205129482827465,0.0004906012623114609
1.5,0.001953125,driver_lag_4,2.951501122825371e-05,0.0004551012577754672
1.5,0.001953125,driver_lag_8,0.0009369679884534421,0.0004987967400453516
1.5,0.001953125,driver_adjacent_routes,-0.0009249817055506078,0.0006805498963671185
1.5,0.00048828125,driver_lag_1,-8.044591603961944e-05,0.0002508439203132202
1.5,0.00048828125,driver_lag_2,-6.612080098496498e-05,0.00026244017015674255
1.5,0.00048828125,driver_lag_4,-0.00024498059166069353,0.00023251198416114664
1.5,0.00048828125,driver_lag_8,-0.00025395687736766735,0.0002499065428348901
1.5,0.00048828125,driver_adjacent_routes,0.00011905752523492751,0.0003744478972491616
2.5,0.001953125,driver_lag_1,3.3052431941123095e-05,0.00048058464462620424
2.5,0.001953125,driver_lag_2,-0.0002205129482827465,0.0004906012623114609
2.5,0.001953125,driver_lag_4,2.951501122825371e-05,0.0004551012577754672
2.5,0.001953125,driver_lag_8,0.0009369679884534421,0.0004987967400453516
2.5,0.001953125,driver_adjacent_routes,-0.0009249817055506078,0.0006805498963671185
2.5,0.00048828125,driver_lag_1,-8.044591603961944e-05,0.0002508439203132202
2.5,0.00048828125,driver_lag_2,-6.612080098496498e-05,0.00026244017015674255
2.5,0.00048828125,driver_lag_4,-0.00024498059166069353,0.00023251198416114664
2.5,0.00048828125,driver_lag_8,-0.00025395687736766735,0.0002499065428348901
2.5,0.00048828125,driver_adjacent_routes,0.00011905752523492751,0.0003744478972491616
