q,upper,dt,initial,time,occupancy_cdf_error,flow_cdf_error,occupancy_sampling_radius_95,flow_sampling_radius_95
0.5,6,0.00048828125,low,32.0,0.012969818023778446,0.012341438429733675,0.02783203125,0.03231168704919916
0.5,6,0.00048828125,low,64.0,0.019035262570972877,0.025402076011492913,0.02734375,0.03143906576235632
0.5,6,0.00048828125,high,32.0,0.01584578368512468,0.020508259102062887,0.029296875,0.033455580116926065
0.5,6,0.00048828125,high,64.0,0.014511954613443678,0.01222996837695961,0.02880859375,0.03297017901007578
2.5,6,0.00048828125,low,32.0,0.011316316853838049,0.015540183219829196,0.02734375,0.03281966128797397
2.5,6,0.00048828125,low,64.0,0.019473245265149597,0.031441496489327925,0.02685546875,0.033444349579957275
2.5,6,0.00048828125,high,32.0,0.012904887631590922,0.018703011293737748,0.02734375,0.034564848820123596
2.5,6,0.00048828125,high,64.0,0.025333121484568122,0.023378955709418503,0.0263671875,0.03440501439691776
