q,dt,seed,lo,hi,count,drift,cluster_se
2.5,0.0001220703125,310,1,1.5,1082112,0.15251933577870996,0.12699260938121373
2.5,0.0001220703125,310,1.5,2,503227,-0.23841802107522014,0.2766303625837886
2.5,0.0001220703125,310,2,2.5,276258,0.5025461934307096,0.5246049285098456
2.5,0.0001220703125,310,2.5,3,157002,-1.251538012666593,0.8259525614818477
2.5,0.0001220703125,311,1,1.5,1087389,0.19151870600951001,0.13313823380292758
2.5,0.0001220703125,311,1.5,2,497459,0.15344695034635378,0.28835556204434076
2.5,0.0001220703125,311,2,2.5,277197,0.4115277645221686,0.5294508940773939
2.5,0.0001220703125,311,2.5,3,155642,-1.4832311906505868,0.8226616728374657
