q_supplied,dt,c_fitted,q_fitted,gamma_fitted,log_c_se,q_se,gamma_se,samples,independent_ensembles,moment_residual
0.5,0.001953125,1.0932402552141058,0.5030946325197608,1.0330419082567837,0.052591064694359084,0.007163048442048888,0.019684729987318725,121452,256,2.977368925020468e-16
0.5,0.00048828125,1.0118517018758701,0.5022914424609214,1.0051670596438598,0.026486552084302957,0.0035858502630268727,0.010033185489958732,505087,256,8.245096338432681e-17
1.0,0.001953125,1.067165774284758,1.0022091341339068,1.0244638687544938,0.05015037733877222,0.0072371412347864055,0.018959001856928767,119496,256,2.71059572695605e-16
1.0,0.00048828125,1.0054745517218453,1.000987923161344,1.0025442220715481,0.02545665310991367,0.0035254655051247478,0.009799655728167184,500830,256,6.360168289464547e-16
1.5,0.001953125,1.0337836491908916,1.4996446406927162,1.0124149171364187,0.0480555402596476,0.00773659484484911,0.018426443116509553,117195,256,7.924223351153641e-17
1.5,0.00048828125,1.01586797033175,1.5026354812639353,1.0067477270985934,0.024301515505152086,0.0035921071302022814,0.00951062503676043,496175,256,4.3779807656838563e-16
2.5,0.001953125,1.0342808897317264,2.5003041155147465,1.0127772361404472,0.047369332725766516,0.008921668436601013,0.018928221481244033,111456,256,5.812175317546685e-16
2.5,0.00048828125,1.0245457856888918,2.5034348928084986,1.0103315169198155,0.024644216195369766,0.0038097091530397966,0.00997267816475036,484730,256,6.435092958939698e-17
