step,material_sweeps,mass,bonds,accepted_exchanges,largest_dense_component,initial_overlap
100,1,1601,2786,187,108,0.9818863210493441
200,2,1601,2807,129,109,0.9743910056214866
300,3,1601,2815,118,108,0.9656464709556527
400,4,1601,2828,102,107,0.9656464709556527
500,5,1601,2836,78,107,0.966895690193629
600,6,1601,2842,73,108,0.9637726420986883
700,7,1601,2844,74,108,0.9637726420986883
800,8,1601,2851,72,108,0.9650218613366646
900,9,1601,2853,62,108,0.9650218613366646
1000,10,1601,2856,68,108,0.9637726420986883
1100,11,1601,2856,60,109,0.9600249843847595
1200,12,1601,2856,62,108,0.9637726420986883
1300,13,1601,2859,60,109,0.9612742036227357
1400,14,1601,2863,59,108,0.9631480324797002
1500,15,1601,2865,58,109,0.9618988132417239
1600,16,1601,2866,58,109,0.962523422860712
1700,17,1601,2870,54,109,0.9618988132417239
1800,18,1601,2871,50,109,0.9606495940037476
1900,19,1601,2871,48,109,0.9600249843847595
2000,20,1601,2871,44,109,0.9618988132417239
2100,21,1601,2871,50,109,0.9612742036227357
2200,22,1601,2872,49,109,0.9618988132417239
2300,23,1601,2874,46,109,0.9618988132417239
2400,24,1601,2875,51,109,0.9594003747657714
2500,25,1601,2875,42,109,0.9594003747657714
2600,26,1601,2878,46,110,0.9594003747657714
2700,27,1601,2878,42,110,0.9581511555277952
2800,28,1601,2878,39,110,0.9587757651467833
2900,29,1601,2878,39,110,0.9594003747657714
3000,30,1601,2879,40,110,0.9587757651467833
3100,31,1601,2879,40,110,0.9587757651467833
3200,32,1601,2880,41,110,0.9600249843847595
3300,33,1601,2880,41,110,0.9587757651467833
3400,34,1601,2881,43,110,0.9587757651467833
3500,35,1601,2881,39,110,0.9569019362898189
3600,36,1601,2881,42,110,0.9587757651467833
3700,37,1601,2881,41,109,0.9562773266708308
3800,38,1601,2881,43,109,0.957526545908807
3900,39,1601,2881,45,109,0.9550281074328545
4000,40,1601,2882,43,109,0.9581511555277952
4100,41,1601,2882,40,109,0.9562773266708308
4200,42,1601,2883,41,109,0.957526545908807
4300,43,1601,2883,39,109,0.9562773266708308
4400,44,1601,2884,38,110,0.9562773266708308
4500,45,1601,2886,35,110,0.9544034978138664
4600,46,1601,2886,35,110,0.9562773266708308
4700,47,1601,2886,34,110,0.9556527170518426
4800,48,1601,2886,33,110,0.9556527170518426
4900,49,1601,2886,35,110,0.9550281074328545
5000,50,1601,2886,35,110,0.9569019362898189
5100,51,1601,2886,36,110,0.9569019362898189
5200,52,1601,2887,34,110,0.9556527170518426
