step,material_sweeps,mass,bonds,accepted_exchanges,largest_dense_component,initial_overlap
100,1,1599,2768,185,111,0.9762351469668543
200,2,1599,2794,141,111,0.9699812382739212
300,3,1599,2803,113,111,0.965603502188868
400,4,1599,2815,111,111,0.9631019387116948
500,5,1599,2819,96,111,0.9599749843652282
600,6,1599,2828,95,111,0.9624765478424016
700,7,1599,2834,90,111,0.9618511569731082
800,8,1599,2837,80,111,0.9631019387116948
900,9,1599,2839,81,111,0.9580988117573483
1000,10,1599,2843,73,111,0.959349593495935
1100,11,1599,2848,69,110,0.9599749843652282
1200,12,1599,2849,67,110,0.9599749843652282
1300,13,1599,2851,58,110,0.959349593495935
1400,14,1599,2853,51,110,0.959349593495935
1500,15,1599,2856,56,110,0.9618511569731082
1600,16,1599,2858,56,110,0.959349593495935
1700,17,1599,2858,49,110,0.959349593495935
1800,18,1599,2858,56,110,0.959349593495935
1900,19,1599,2859,57,110,0.9580988117573483
2000,20,1599,2859,51,110,0.9580988117573483
2100,21,1599,2860,52,110,0.957473420888055
2200,22,1599,2861,53,110,0.9587242026266416
2300,23,1599,2862,52,110,0.957473420888055
2400,24,1599,2865,53,110,0.9587242026266416
2500,25,1599,2867,49,110,0.957473420888055
2600,26,1599,2870,48,110,0.9568480300187617
2700,27,1599,2870,45,110,0.9555972482801751
2800,28,1599,2871,46,110,0.9549718574108818
2900,29,1599,2871,44,110,0.9555972482801751
3000,30,1599,2873,45,110,0.9568480300187617
3100,31,1599,2873,43,110,0.9562226391494684
3200,32,1599,2873,38,110,0.9568480300187617
3300,33,1599,2873,37,110,0.9568480300187617
3400,34,1599,2873,42,110,0.9562226391494684
3500,35,1599,2874,42,110,0.9562226391494684
3600,36,1599,2875,36,110,0.9555972482801751
3700,37,1599,2876,33,110,0.9568480300187617
3800,38,1599,2876,31,110,0.9555972482801751
3900,39,1599,2876,33,110,0.9568480300187617
4000,40,1599,2876,33,110,0.9562226391494684
4100,41,1599,2878,31,110,0.9555972482801751
4200,42,1599,2878,30,110,0.957473420888055
4300,43,1599,2878,32,110,0.957473420888055
4400,44,1599,2878,38,110,0.9555972482801751
4500,45,1599,2878,30,110,0.9562226391494684
4600,46,1599,2878,32,110,0.9562226391494684
4700,47,1599,2879,31,110,0.9543464665415885
4800,48,1599,2879,32,110,0.9562226391494684
4900,49,1599,2879,36,110,0.957473420888055
5000,50,1599,2879,33,110,0.9549718574108818
5100,51,1599,2879,35,110,0.957473420888055
5200,52,1599,2879,37,110,0.9562226391494684
5300,53,1599,2879,35,110,0.9568480300187617
5400,54,1599,2879,32,110,0.9562226391494684
5500,55,1599,2879,32,110,0.957473420888055
5600,56,1599,2879,32,110,0.9549718574108818
5700,57,1599,2879,32,110,0.9555972482801751
5800,58,1599,2880,33,110,0.9562226391494684
5900,59,1599,2880,34,110,0.9568480300187617
6000,60,1599,2880,33,110,0.9568480300187617
6100,61,1599,2880,34,110,0.9562226391494684
6200,62,1599,2880,35,110,0.9562226391494684
6300,63,1599,2880,32,110,0.9562226391494684
6400,64,1599,2880,35,110,0.9568480300187617
6500,65,1599,2880,35,110,0.9555972482801751
6600,66,1599,2880,33,110,0.9568480300187617
6700,67,1599,2880,32,110,0.9562226391494684
6800,68,1599,2880,32,110,0.9568480300187617
6900,69,1599,2880,32,110,0.957473420888055
7000,70,1599,2880,32,110,0.9568480300187617
7100,71,1599,2880,32,110,0.9568480300187617
7200,72,1599,2880,32,110,0.9568480300187617
7300,73,1599,2880,35,110,0.9543464665415885
7400,74,1599,2880,32,110,0.957473420888055
