step,material_sweeps,mass,bonds,accepted_exchanges,largest_dense_component,initial_overlap
12000,120,1599,650,559,0,0.25453408380237647
12100,121,1599,652,556,0,0.2557848655409631
12200,122,1599,655,562,0,0.2551594746716698
12300,123,1599,658,551,0,0.25328330206378985
12400,124,1599,658,548,0,0.2501563477173233
12500,125,1599,659,554,0,0.25203252032520324
12600,126,1599,663,547,0,0.24702939337085678
12700,127,1599,667,543,0,0.25203252032520324
12800,128,1599,667,539,0,0.24640400250156347
12900,129,1599,668,539,0,0.2501563477173233
13000,130,1599,670,539,0,0.24765478424015008
13100,131,1599,671,532,0,0.2489055659787367
13200,132,1599,675,530,0,0.24702939337085678
13300,133,1599,675,525,0,0.25140712945590993
13400,134,1599,677,524,0,0.25453408380237647
13500,135,1599,677,520,0,0.2557848655409631
13600,136,1599,678,523,0,0.25140712945590993
13700,137,1599,679,515,0,0.25390869293308316
13800,138,1599,679,509,0,0.25390869293308316
13900,139,1599,681,522,0,0.25453408380237647
14000,140,1599,682,518,0,0.2589118198874296
