step,material_sweeps,mass,bonds,accepted_exchanges,largest_dense_component,initial_overlap
11600,116,1631,2961,35,112,0.9625996321275291
11700,117,1631,2961,38,112,0.9607602697731453
11800,118,1631,2961,38,112,0.9638258736971184
11900,119,1631,2961,37,112,0.9607602697731453
12000,120,1631,2961,37,112,0.9619865113427345
12100,121,1631,2961,38,112,0.9607602697731453
12200,122,1631,2961,41,112,0.9619865113427345
12300,123,1631,2961,37,112,0.9619865113427345
12400,124,1631,2961,34,112,0.9613733905579399
12500,125,1631,2961,36,112,0.9625996321275291
12600,126,1631,2961,36,112,0.9613733905579399
12700,127,1631,2961,34,112,0.9619865113427345
12800,128,1631,2961,33,112,0.9619865113427345
12900,129,1631,2961,34,112,0.9619865113427345
13000,130,1631,2961,34,112,0.9607602697731453
13100,131,1631,2961,34,112,0.9625996321275291
13200,132,1631,2961,34,112,0.9625996321275291
13300,133,1631,2961,33,112,0.9613733905579399
13400,134,1631,2961,33,112,0.9619865113427345
13500,135,1631,2961,35,112,0.9619865113427345
13600,136,1631,2961,35,112,0.9625996321275291
13700,137,1631,2961,35,112,0.9601471489883507
13800,138,1631,2961,35,112,0.9625996321275291
13900,139,1631,2961,37,112,0.9619865113427345
14000,140,1631,2961,37,112,0.9613733905579399
