Re,linear,obstacle,nx,ny,r,steps,tau,reverse_fraction,probe_std,relative_field_change,returning_tracers,tracers,rho_min,rho_max
2,False,True,180,60,6,14000,1.04,0.0,3.5166374724307907e-09,0.0036388122635207846,0,120,0.9925035819473452,1.0363289999656802
20,False,True,180,60,6,14000,0.554,0.005555555555555556,7.215598120501722e-08,0.0036713314161346076,10,120,1.0,1.0325820240573
20,True,True,180,60,6,14000,0.554,0.0,6.027853858381656e-07,0.003311076721030596,0,120,1.0,1.0235157235831975
20,False,False,180,60,6,14000,0.554,0.0,2.315807586583927e-16,1.1429514742052524e-12,0,120,1.0,1.022794009167163
20,False,True,240,80,8,18666,0.5720000000000001,0.003125,3.1123156195892645e-08,0.0018551725523937449,6,120,0.9931814507869289,1.0348263434955296
40,False,True,180,60,6,14000,0.527,0.06666666666666667,2.0268542408566028e-07,0.002080874140350637,60,120,1.0,1.0327033301386748
40,True,True,180,60,6,14000,0.527,0.0,6.21721775063163e-06,0.009426563204486052,0,120,1.0,1.023384894856451
40,False,True,240,80,8,18666,0.536,0.053125,5.8277379377698574e-08,0.002172411000423231,50,120,0.9996565211608337,1.0323905381240437
