exponent,seed,time,outlet_flow,retained_at_pits,terminal_balance,top3_outlet_fraction,transverse_relief,mean_erosion,erosion_coefficient
0.0,0,0,1.0000000000000007,0.0,1.0000000000000007,0.06737588652482271,0.0029897958886755303,0.0,0.03
0.0,0,100,1.0000000000000007,0.0,1.0000000000000007,0.06250000000000001,0.0012104411011224564,0.11378555646327593,0.03
0.0,0,200,1.0000000000000007,0.0,1.0000000000000007,0.06250000000000001,0.0009850990429331862,0.22006660800989966,0.03
0.0,0,300,1.0000000000000007,0.0,1.0000000000000007,0.06250000000000001,0.0008594136072164447,0.31883974182458935,0.03
0.0,0,400,1.0000000000000007,0.0,1.0000000000000007,0.06250000000000001,0.0007716481945684393,0.4101135251749919,0.03
0.0,0,500,1.0000000000000007,0.0,1.0000000000000007,0.06250000000000001,0.0006934272799592748,0.4938954807879049,0.03
0.0,0,600,1.0000000000000007,0.0,1.0000000000000007,0.06250000000000001,0.0006209723069872004,0.570185836793293,0.03
0.0,1,0,1.0000000000000004,0.0,1.0000000000000004,0.10904255319148938,0.0030077520865252707,0.0,0.03
0.0,1,100,1.0000000000000007,0.0,1.0000000000000007,0.06250000000000001,0.0012144381078207777,0.11378910679594176,0.03
0.0,1,200,1.0000000000000007,0.0,1.0000000000000007,0.06250000000000001,0.0009818067808817174,0.2200843087245209,0.03
0.0,1,300,1.0000000000000007,0.0,1.0000000000000007,0.06250000000000001,0.0008455051707271416,0.3188884686356324,0.03
0.0,1,400,1.0000000000000007,0.0,1.0000000000000007,0.06250000000000001,0.0007533543670246173,0.4101883095435244,0.03
0.0,1,500,1.0000000000000007,0.0,1.0000000000000007,0.06250000000000001,0.0006850519191306294,0.493981406956851,0.03
0.0,1,600,1.0000000000000007,0.0,1.0000000000000007,0.06250000000000001,0.0006232096862948627,0.570271162603655,0.03
0.0,2,0,1.0000000000000007,0.0,1.0000000000000007,0.08466312056737588,0.002981056681109082,0.0,0.03
0.0,2,100,1.0000000000000007,0.0,1.0000000000000007,0.06250000000000001,0.0012084734137009295,0.11377473739464132,0.03
0.0,2,200,1.0000000000000007,0.0,1.0000000000000007,0.06250000000000001,0.0009700040931399711,0.2200617689488317,0.03
0.0,2,300,1.0000000000000007,0.0,1.0000000000000007,0.06250000000000001,0.0008388229257675679,0.3188459497709567,0.03
0.0,2,400,1.0000000000000007,0.0,1.0000000000000007,0.06250000000000001,0.0007543687474851291,0.41012410320585935,0.03
0.0,2,500,1.0000000000000007,0.0,1.0000000000000007,0.06250000000000001,0.0006881332691811632,0.493901169000139,0.03
