clock,cost,work,loss,fidelity,trials,expected_offspring,observed_offspring,standard_error,expected_zero_offspring,observed_zero_offspring,critical_cost
accumulator,0.45,1,1,0.8,100000,1.4076770134886352,1.40063,0.005788764214313041,0.41533810157992784,0.41622,0.5877866649021191
accumulator,0.7,1,1,0.8,100000,0.7891470909075707,0.78361,0.0037402932474520987,0.5589255378062491,0.56189,0.5877866649021191
accumulator,1.0,1,1,0.8,100000,0.46558136549546114,0.46431,0.0026048282266400795,0.6823230859393026,0.68204,0.5877866649021191
poisson,0.45,1,1,0.8,100000,1.777777777777778,1.76429,0.007002299499520339,0.36,0.36242,0.8
poisson,0.7,1,1,0.8,100000,1.142857142857143,1.13553,0.0049195587415521436,0.46666666666666656,0.46878,0.8
poisson,1.0,1,1,0.8,100000,0.8,0.79598,0.0037711935265915676,0.5555555555555556,0.55647,0.8
