mode,distance,seed,correlation,sign_fidelity,response_effect,shuffled_effect
gated,0,0,0.9999999999999998,1.0,0.7615941559557649,0.0021051220314547425
gated,0,1,1.0,1.0,0.7615941559557649,0.013099150024237338
gated,0,2,1.0,1.0,0.761594155955765,-0.007678252624652826
gated,0,3,1.0,1.0,0.7615941559557651,-0.013408521160241826
gated,0,4,1.0,1.0,0.7615941559557652,-0.007089807092236278
gated,0,5,0.9999999999999998,1.0,0.7615941559557651,0.004258111248950036
gated,0,6,1.0,1.0,0.7615941559557651,-0.005798060988395526
gated,0,7,0.9999999999999999,1.0,0.7615941559557652,0.0053178231549447785
gated,0,8,1.0,1.0,0.7615941559557649,-0.007407767498453621
gated,0,9,1.0,1.0,0.7615941559557649,-0.003095316750076238
gated,10,0,0.9058172313149953,0.9529,0.6898155876557486,0.004660819386284709
gated,10,1,0.9057999728999947,0.9529,0.68985186924621,0.008986448710204598
gated,10,2,0.9026152759789441,0.9513,0.687352665956274,-0.008191456336436254
gated,10,3,0.8995997802597737,0.9498,0.6851274688585195,-0.008841123307464449
gated,10,4,0.9044408828910786,0.9522,0.6888539246235036,-0.008537114384373767
gated,10,5,0.9072149488543666,0.9536,0.6909303770908803,0.0006152212961726411
gated,10,6,0.9118052067528726,0.9559,0.6944300028655113,-0.005636418149844169
gated,10,7,0.9073825215133614,0.9537,0.6910708699246005,0.0015248017826762217
gated,10,8,0.9084136818225028,0.9542,0.6918779771418456,-0.010704604270764473
gated,10,9,0.8992198229125351,0.9496,0.6848619848985604,-7.3117718504267515e-06
gated,40,0,0.6755891538445195,0.8378,0.5145259451340995,0.0027162471826991386
gated,40,1,0.6680274997030086,0.834,0.5087488263712757,0.006096502485634314
gated,40,2,0.6639705746940473,0.832,0.5056723064068914,-0.005551100166550249
gated,40,3,0.6676080964052175,0.8338,0.5084263710530025,-0.0006260949300349594
gated,40,4,0.6657952109483054,0.8329,0.5070878009874822,-0.008719551148969051
gated,40,5,0.6803967820051683,0.8402,0.5181809895158817,0.0005969428719239112
gated,40,6,0.6624192040633818,0.8312,0.5044952807286135,0.003664473004834301
gated,40,7,0.6749580738432179,0.8375,0.5140736877169159,0.0027796964035489147
gated,40,8,0.6788138773303438,0.8394,0.5170110833403369,-0.00794545949310932
gated,40,9,0.6535138793955043,0.8267,0.49770987261127353,-0.0077163565596387595
gated,100,0,0.38318087786511523,0.6916,0.29182962469107243,-0.0015470057417841243
gated,100,1,0.36859970429985595,0.6843,0.28072334138050314,0.01050963757046397
gated,100,2,0.36115541316025035,0.6806,0.2750566248080839,-0.0006627929207392302
gated,100,3,0.3723941172787225,0.6862,0.2836112548444678,-0.0033590760687705057
gated,100,4,0.36779409392136914,0.6839,0.2801240352702078,-0.012055085048076841
gated,100,5,0.3608139091672817,0.6804,0.2747934128699465,-0.004561837731883345
gated,100,6,0.34618408532137446,0.6731,0.26364373465961854,0.004089082481601558
gated,100,7,0.3777618880602512,0.6889,0.2877279208015133,0.0080092771628536
gated,100,8,0.3764515758974269,0.6882,0.2867204781694437,0.002762557147521494
gated,100,9,0.3547329310755252,0.6774,0.2701431600485824,-0.0013063699039690402
