restoring,transit,ratio_to_critical,initial_trait,reproduction_radius,eventual_survival,survival_at_20,residual,trials,extinct,alive_at_horizon,censored
0.0,0.0,0.8,1.5,0.8000000000000002,3.240963053485757e-12,0.014650250550861887,2.1615358529209025e-12,1000,982,18,0
0.0,0.0,1.2,1.5,1.2000000000000002,0.0342465343285554,0.06032703665926342,2.4464597014883793e-12,1000,951,49,0
0.0,10.0,0.8,1.5,0.7999999999999997,5.717204487609706e-12,0.023686733290392947,2.5225751175051967e-12,1000,982,18,0
0.0,10.0,1.2,1.5,1.2000000000000013,0.0626803182521869,0.10266550716824907,2.9715119254092315e-12,1000,886,114,0
0.0,40.0,0.8,1.5,0.8,2.752542638262412e-11,0.04874313137464348,2.730457373776107e-12,1000,952,48,0
0.0,40.0,1.2,1.5,1.1999999999999982,0.1654185937090814,0.20432200692811775,4.937630165846585e-12,1000,823,175,2
0.7,0.0,0.8,1.5,0.7999999999999995,6.069811320230656e-12,0.05390019527268419,7.246490799706661e-12,1000,943,57,0
0.7,0.0,1.2,1.5,1.1999999999999997,0.1917700772630193,0.22860157550199378,7.725570183580999e-12,1000,794,204,2
0.7,10.0,0.8,1.5,0.8000000000000003,8.301581644332146e-12,0.05248090641056968,7.3283305439162e-12,1000,961,39,0
0.7,10.0,1.2,1.5,1.2000000000000006,0.1854966690207286,0.22150767304842034,8.110428995067309e-12,1000,786,211,3
0.7,40.0,0.8,1.5,0.8000000000000008,1.7150947329014343e-11,0.04823327409137235,8.521615193723627e-12,1000,950,50,0
0.7,40.0,1.2,1.5,1.200000000000001,0.1669896819865052,0.2007409761926937,9.773098996745944e-12,1000,816,184,0
